asset,lon,lat,taxonomy,number,structural,contents,area
53063000200-MH-LC,-117.37095,47.70771,MH-LC,1.9,326,164,3
53063000200-RM1L-LC,-117.37095,47.70771,RM1L-LC,3.7,795,398,7
53063000200-S3-LC,-117.37095,47.70771,S3-LC,0.3,132,66,1
53063000200-W1-LC,-117.37095,47.70771,W1-LC,206.3,34371,17197,315
53033001100-C2L-PC,-122.30681,47.70655,C2L-PC,0.2,511,256,3
53033001100-C3L-PC,-122.30681,47.70655,C3L-PC,0.4,590,295,4
53033001100-MH-PC,-122.30681,47.70655,MH-PC,2.1,197,99,3
53033001100-RM1L-PC,-122.30681,47.70655,RM1L-PC,1.7,854,427,5
53033001100-W1-PC,-122.30681,47.70655,W1-PC,90.5,28833,14418,181
53033001100-C2L-MC,-122.30681,47.70655,C2L-MC,1.8,4650,2325,24
53033001100-MH-MC,-122.30681,47.70655,MH-MC,18.7,1793,904,23
53033001100-RM1L-MC,-122.30681,47.70655,RM1L-MC,15.2,7769,3885,45
53033001100-S1L-MC,-122.30681,47.70655,S1L-MC,0.1,542,271,3
53033001100-S2L-MC,-122.30681,47.70655,S2L-MC,0.1,332,166,2
53033001100-S3-MC,-122.30681,47.70655,S3-MC,0.3,432,216,3
53033001100-S4L-MC,-122.30681,47.70655,S4L-MC,0.1,394,197,2
53033001100-W1-MC,-122.30681,47.70655,W1-MC,823.4,262412,131222,1643
53053071503-MH-PC,-122.45191,47.13334,MH-PC,4.6,321,161,5
53053071503-RM1L-PC,-122.45191,47.13334,RM1L-PC,0.9,332,166,2
53053071503-W1-PC,-122.45191,47.13334,W1-PC,34.1,7891,3946,61
53053071503-C2L-LC,-122.45191,47.13334,C2L-LC,3.1,2846,1424,17
53053071503-C3L-LC,-122.45191,47.13334,C3L-LC,1.3,1164,582,8
53053071503-MH-LC,-122.45191,47.13334,MH-LC,83.1,5838,2926,92
53053071503-RM1L-LC,-122.45191,47.13334,RM1L-LC,15.8,6042,3022,42
53053071503-S3-LC,-122.45191,47.13334,S3-LC,0.9,763,381,5
53053071503-W1-LC,-122.45191,47.13334,W1-LC,621.3,143689,71856,1102
53053071503-C2L-MC,-122.45191,47.13334,C2L-MC,3.8,3504,1753,22
53053071503-MH-MC,-122.45191,47.13334,MH-MC,102.4,7187,3602,113
53053071503-RM1L-MC,-122.45191,47.13334,RM1L-MC,19.5,7439,3720,51
53053071503-S3-MC,-122.45191,47.13334,S3-MC,1.1,939,469,6
53053071503-W1-MC,-122.45191,47.13334,W1-MC,764.9,176898,88464,1357
53053071504-C2L-PC,-122.44528,47.14569,C2L-PC,0.8,1647,824,8
53053071504-RM1L-PC,-122.44528,47.14569,RM1L-PC,1.9,1601,801,9
53053071504-S1L-PC,-122.44528,47.14569,S1L-PC,0.1,233,117,1
53053071504-W1-PC,-122.44528,47.14569,W1-PC,63.9,15341,7672,118
53053071504-C2L-LC,-122.44528,47.14569,C2L-LC,10.6,22431,11216,115
53053071504-C3L-LC,-122.44528,47.14569,C3L-LC,2.8,1334,667,9
53053071504-MH-LC,-122.44528,47.14569,MH-LC,3.9,1869,935,13
53053071504-RM1L-LC,-122.44528,47.14569,RM1L-LC,25.5,21809,10906,123
53053071504-S1L-LC,-122.44528,47.14569,S1L-LC,0.7,3177,1589,15
53053071504-S2L-LC,-122.44528,47.14569,S2L-LC,0.5,2359,1179,11
53053071504-S3-LC,-122.44528,47.14569,S3-LC,2.0,979,490,7
53053071504-S4L-LC,-122.44528,47.14569,S4L-LC,0.5,2347,1173,11
53053071504-W1-LC,-122.44528,47.14569,W1-LC,870.3,208949,104499,1611
53053071504-C2L-MC,-122.44528,47.14569,C2L-MC,3.1,6450,3225,33
53053071504-MH-MC,-122.44528,47.14569,MH-MC,1.1,537,269,4
53053071504-RM1L-MC,-122.44528,47.14569,RM1L-MC,7.3,6271,3136,35
53053071504-S1L-MC,-122.44528,47.14569,S1L-MC,0.2,914,457,4
53053071504-S2L-MC,-122.44528,47.14569,S2L-MC,0.2,678,339,3
53053071504-S3-MC,-122.44528,47.14569,S3-MC,0.6,281,141,2
53053071504-S4L-MC,-122.44528,47.14569,S4L-MC,0.2,675,337,3
53053071504-W1-MC,-122.44528,47.14569,W1-MC,250.3,60085,30050,463
53053071505-MH-PC,-122.42357,47.13238,MH-PC,12.4,679,340,13
53053071505-RM1L-PC,-122.42357,47.13238,RM1L-PC,1.1,297,149,2
53053071505-W1-PC,-122.42357,47.13238,W1-PC,48.2,10732,5366,81
53053071505-C2L-LC,-122.42357,47.13238,C2L-LC,1.6,869,435,6
53053071505-C3L-LC,-122.42357,47.13238,C3L-LC,0.8,456,228,3
53053071505-MH-LC,-122.42357,47.13238,MH-LC,152.4,8322,4165,155
53053071505-RM1L-LC,-122.42357,47.13238,RM1L-LC,13.6,3643,1822,27
53053071505-S3-LC,-122.42357,47.13238,S3-LC,0.5,282,141,2
53053071505-W1-LC,-122.42357,47.13238,W1-LC,590.8,131544,65780,998
